par,mus,timbre,fam,att,tech,reg,regn,val,ten,energy,pref,familiar
1,0,79,2,2,1,6,6,0.264476,0.964006,0.400626,0.388106,0.035994
1,0,80,2,2,0,7,6,0.00626,0.989045,0.915493,0.015649,0.051643
1,0,81,3,1,0,1,1,0.01252,0.979656,0.621283,0.017214,0.021909
1,0,82,3,1,0,2,2,0.760563,0.507042,0.594679,0.615023,0.13928
1,0,83,3,1,0,3,3,0.964006,0.104851,0.902973,0.902973,0.13928
1,0,84,3,1,0,4,4,0.918623,0.377152,0.758998,0.956182,0.621283
1,0,85,3,1,0,5,5,0.503912,0.370892,0.615023,0.887324,0.492958
1,0,86,3,1,0,6,6,0.873239,0.370892,0.748044,0.873239,0.624413
1,0,87,3,1,0,7,6,0.971831,0.358372,0.827856,0.981221,0.965571
1,0,88,3,2,0,2,2,0.014085,0.98748,0.120501,0.233177,0.020344
1,0,89,3,1,1,2,2,0.381847,0.608764,0.241002,0.241002,0.01252
1,0,90,3,2,0,3,3,0.097027,0.760563,0.830986,0.064163,0.054773
1,0,91,3,2,0,4,4,0.86698,0.264476,0.738654,0.917058,0.223787
1,0,92,3,2,1,3,3,0.020344,0.973396,0.028169,0.026604,0.028169
1,0,93,3,2,1,4,4,0.369327,0.635368,0.27856,0.843506,0.050078
1,0,94,3,1,1,3,3,0.255086,0.499218,0.13302,0.140845,0.031299
1,0,95,3,1,1,4,4,0.496088,0.608764,0.636933,0.13302,0.084507
1,0,96,3,2,0,5,5,0.917058,0.363067,0.967136,0.931142,0.58216
1,0,97,3,2,1,5,5,0.751174,0.250391,0.660407,0.758998,0.264476
1,0,98,3,1,1,5,5,0.979656,0.366197,0.72144,0.964006,0.366197
1,0,99,3,2,0,6,6,0.621283,0.499218,0.748044,0.740219,0.028169
1,0,100,3,2,0,7,6,0.029734,0.985915,0.956182,0.114241,0.031299
1,0,101,3,2,1,6,6,0.380282,0.486698,0.502347,0.494523,0.01252
1,0,102,3,2,1,7,6,0.023474,0.964006,0.442879,0.594679,0.010955
1,0,103,3,1,1,6,6,0.500782,0.497653,0.758998,0.256651,0.636933
1,0,104,4,3,0,2,2,0.020344,0.976526,0.984351,0.239437,0.114241
1,0,105,4,3,0,3,3,0.039124,0.968701,0.918623,0.028169,0.123631
1,0,106,4,2,0,2,2,0.497653,0.621283,0.735524,0.502347,0.106416
1,0,107,4,2,0,3,3,0.017214,0.981221,0.807512,0.035994,0.123631
1,0,108,4,1,0,2,2,0.025039,0.992175,0.979656,0.627543,0.115806
1,0,109,4,1,0,3,3,0.402191,0.632238,0.865415,0.494523,0.115806
1,0,110,4,1,0,3,3,0.500782,0.613459,0.500782,0.269171,0.010955
1,0,111,4,1,0,4,4,0.630673,0.507042,0.56964,0.716745,0.026604
1,0,112,4,1,0,5,5,0.625978,0.492958,0.956182,0.602504,0.075117
1,0,113,4,2,0,3,3,0.370892,0.938967,0.289515,0.111111,0.073552
